stno,stat_name,SLV_m,LON,LAT,CITY,ADD,START,END,NOTE,OLD,NEW,url_nam,url_nam25
C1AC80,文山,45.0,121.5757,25.0021,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內),2009/10/01,2009/11/30,因擴充為氣象站，於2009/12/1升級為(C0AC80)站。,　,C0AC80,%E6%96%87%E5%B1%B1,%25E6%2596%2587%25E5%25B1%25B1
C1AC90,中和,49.0,121.5163,24.9896,新北市,中和區景新街467巷37號(景新國小校園內),2009/10/01,2009/11/30,因擴充為氣象站，於2009/12/1升級為(C0AC90)站。,　,C0AC90,%E4%B8%AD%E5%92%8C,%25E4%25B8%25AD%25E5%2592%258C
C1ACA0,新莊,25.0,121.4476,25.0518,新北市,新莊區中和街193號(榮富國小校園內),2009/10/01,2009/11/30,因擴充為氣象站，於2009/12/1升級為(C0ACA0)站。,　,C0ACA0,%E6%96%B0%E8%8E%8A,%25E6%2596%25B0%25E8%258E%258A
C1C460,大溪,350.0,121.3513,24.8196,桃園市,復興區澤仁里中正路248號(介壽國民中學校園內),1987/06/01,2007/09/30,因擴充為氣象站，於2007/10/1升級為(C0C460)站，站名變更為復興。,　,C0C460,%E5%A4%A7%E6%BA%AA,%25E5%25A4%25A7%25E6%25BA%25AA
C1C470,五權,94.0,121.0724,25.0177,桃園市,中壢區,1987/06/01,1995/06/23,　,　,　,%E4%BA%94%E6%AC%8A,%25E4%25BA%2594%25E6%25AC%258A
C1C480,桃園,105.0,121.3232,24.9924,桃園市,桃園區成功路二段144號(桃園高級農工職業學校校園內),1987/06/01,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0C480)站。,　,C0C480,%E6%A1%83%E5%9C%92,%25E6%25A1%2583%25E5%259C%2592
C1C490,八德,180.0,121.2915,24.9271,桃園市,八德區興仁里中山路94號(八德國民小學校園內),1987/06/01,2011/11/30,因擴充為氣象站，於2011/12/1升級為(C0C490)站。,　,C0C490,%E5%85%AB%E5%BE%B7,%25E5%2585%25AB%25E5%25BE%25B7
C1C500,楊梅,187.0,121.1482,24.921,桃園市,楊梅區高山里11鄰梅高路838號(楊梅高中旁),1987/06/01,2011/11/30,因擴充為氣象站，於2011/12/1升級為(C0C500)站。,　,C0C500,%E6%A5%8A%E6%A2%85,%25E6%25A5%258A%25E6%25A2%2585
C1C520,中壢,151.0,121.1853,24.9677,桃園市,中壢區五權里(中央大學校園內),1987/06/01,2007/09/30,因擴充為氣象站，於2007/10/1升級為(C0C520)站。,　,C0C520,%E4%B8%AD%E5%A3%A2,%25E4%25B8%25AD%25E5%25A3%25A2
C1C540,埔心,70.0,121.226,25.0477,桃園市,大園區埔心里25鄰埔心50號(埔心國民小學校園內),1995/07/15,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0C540)站。,　,C0C540,%E5%9F%94%E5%BF%83,%25E5%259F%2594%25E5%25BF%2583
C1C570,新屋-衛星中心,5.0,121.0515,25.0141,桃園市,新屋區,2007/10/01,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0C570)站。,　,C0C570,%E6%96%B0%E5%B1%8B-%E8%A1%9B%E6%98%9F%E4%B8%AD%E5%BF%83,%25E6%2596%25B0%25E5%25B1%258B-%25E8%25A1%259B%25E6%2598%259F%25E4%25B8%25AD%25E5%25BF%2583
C1C620,蘆竹,24.0,121.2707,25.086,桃園市,蘆竹區,2007/10/01,2011/11/30,因擴充為氣象站，於2011/12/1升級為(C0C620)站。,　,C0C620,%E8%98%86%E7%AB%B9,%25E8%2598%2586%25E7%25AB%25B9
C1D370,湖口,104.0,121.044,24.9093,新竹縣,湖口鄉德盛村98-8號(湖口農田水利會內),1987/06/01,2011/11/30,因擴充為氣象站，於2011/12/1升級為(C0D370)站。,　,C0D370,%E6%B9%96%E5%8F%A3,%25E6%25B9%2596%25E5%258F%25A3
C1D390,關西,146.0,121.1739,24.7983,新竹縣,關西鎮北斗里北門口41號(關西國中校園內),1987/05/01,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0D390)站。,　,C0D390,%E9%97%9C%E8%A5%BF,%25E9%2597%259C%25E8%25A5%25BF
C1D430,峨眉,100.0,121.0171,24.6904,新竹縣,峨眉鄉峨眉村峨眉街54號(峨眉國中校園內),1987/06/01,2011/11/30,因擴充為氣象站，於2011/12/1升級為(C0D430)站。,　,C0D430,%E5%B3%A8%E7%9C%89,%25E5%25B3%25A8%25E7%259C%2589
C1D440,新竹,36.0,121.0141,24.8283,新竹市,公園路(新竹氣象站舊址),1987/06/01,2007/05/01,　,　,　,%E6%96%B0%E7%AB%B9,%25E6%2596%25B0%25E7%25AB%25B9
C1D480,打鐵坑,223.0,121.15100000000001,24.8332,新竹縣,新埔鎮新北里8鄰大北坑28號旁,1990/07/20,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0D480)站。,　,C0D480,%E6%89%93%E9%90%B5%E5%9D%91,%25E6%2589%2593%25E9%2590%25B5%25E5%259D%2591
C1D560,竹東,147.0,121.0581,24.7675,新竹縣,竹東鎮二重國民小學校園內,2007/10/01,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0D560)站。,　,C0D560,%E7%AB%B9%E6%9D%B1,%25E7%25AB%25B9%25E6%259D%25B1
C1E440,大河,122.0,120.9551,24.6154,苗栗縣,三灣鄉大河村64號(大河國小校園內),1987/06/01,2007/12/31,因擴充為氣象站，於2008/1/1升級為(C0E440)站。,　,C0E440,%E5%A4%A7%E6%B2%B3,%25E5%25A4%25A7%25E6%25B2%25B3
C1E450,象鼻,968.0,120.9404,24.3685,苗栗縣,泰安鄉象鼻村,1990/07/21,2011/10/31,因儀器汰換，於2011/11/1更變為(C1E451)站。,　,C1E451,%E8%B1%A1%E9%BC%BB,%25E8%25B1%25A1%25E9%25BC%25BB
C1E460,松安,1400.0,120.986,24.3977,苗栗縣,泰安鄉梅園村二本松梅園派出所,1990/07/21,2011/10/31,因儀器汰換，於2011/11/1更變為(C1E461)站。,　,C1E461,%E6%9D%BE%E5%AE%89,%25E6%259D%25BE%25E5%25AE%2589
C1E470,馬達拉,1800.0,121.1904,24.4924,苗栗縣,泰安鄉梅園村(由觀霧派出所開車經大霸尖山路口直走約50分),1990/07/21,2007/06/25,2005年以後未進行維護。,　,　,%E9%A6%AC%E9%81%94%E6%8B%89,%25E9%25A6%25AC%25E9%2581%2594%25E6%258B%2589
C1E490,合流山,2533.0,121.0596,24.3527,苗栗縣,泰安鄉合流山山區大安溪事業區93林班地(小雪山右轉，230林道22K處附近),1990/08/01,2007/04/11,2005年以後未進行維護。,　,　,%E5%90%88%E6%B5%81%E5%B1%B1,%25E5%2590%2588%25E6%25B5%2581%25E5%25B1%25B1
C1E500,卓蘭,345.0,120.8112,24.3071,苗栗縣,卓蘭鎮蘭勢大橋下方堤防旁,1990/07/21,2011/06/13,　,　,　,%E5%8D%93%E8%98%AD,%25E5%258D%2593%25E8%2598%25AD
C1E510,新開,350.0,120.8271,24.3477,苗栗縣,大湖鄉新開村新開4鄰20號旁,1990/07/21,2011/10/31,因儀器汰換，於2011/11/1更變為(C1E511)站。,　,C1E511,%E6%96%B0%E9%96%8B,%25E6%2596%25B0%25E9%2596%258B
C1E520,大湖,350.0,120.8746,24.4171,苗栗縣,大湖鄉大寮村5鄰竹高屋34-1號附近,1990/07/21,2011/10/31,因擴充為氣象站，於2011/11/1升級為(C0E520)站。,　,C0E520,%E5%A4%A7%E6%B9%96,%25E5%25A4%25A7%25E6%25B9%2596
C1E540,後龍,41.0,120.7837,24.6063,苗栗縣,後龍鎮後龍溪橋旁,1990/07/23,2011/10/31,因擴充為氣象站，於2011/11/1升級為(C0E540)站。,　,C0E540,%E5%BE%8C%E9%BE%8D,%25E5%25BE%258C%25E9%25BE%258D
C1E550,明德,109.0,120.8868,24.5846,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上,1990/07/21,2011/10/31,因擴充為氣象站，於2011/11/1升級為(C0E550)站。,　,C0E550,%E6%98%8E%E5%BE%B7,%25E6%2598%258E%25E5%25BE%25B7
